
aws.zope2zcmldoc 23 "['setuptools'  '# -*- Extra requirements: -*-']"
Axiom 206 []
b2btest 54 []
baas 19 "['twisted'  'feedparser'  'chardet'  'simplejson']"
BabelGladeExtractor 151 []
babel-obviel 17 ['lxml']
babtools_gnutella 2 []
backlift-test 15 []
backplane2-pyclient 14 []
backport_importlib 14 []
BACpypes 3225 []
BaculaFS 33 "['fuse-python>=0.2'  'pexpect>=2.3'  'MySQL-python>=1.2.2'  'psycopg2>=2.0.13']"
baf 12 []
bagit 44670 []
bake 20 []
balanced 633 []
balanced-ach 12 "['iso8601 >=0.1.4'  'simplejson >=2.3.2'  'wac >=0.11']"
ballotbox 12 []
bamboo 245 ['eventlet']
bamboo-data 16 "['# celery requires python-dateutil>=1.5'  '<2.0\n        python-dateutil==1.5'  '# for pandas\n        numpy'  'pandas'  'scipy'  '# for celery\n        kombu'  'celery'  'pymongo'  'cherrypy'  'pyparsing'  'simplejson'  'Routes']"
bamboo.pantrybell 9 "['""flask >= 0.8""'  '""rhaptos2.common""'  '""requests""']"
bamboo.setuptools_version 16 []
bambu-tools 25 []
BamTyper 68 "['""pysam >= 0.6""']"
banana_py 33 "['oauth2'  'simplejson'  'django']"
Bananas 22 []
bandpage 13 ['requests']
bandwidthMonitor 10 []
banter 16 "['requests>=1.0'  'argparse']"
Barabash 12 "['pyyaml>3.0'  'mako']"
Barak 22 []
barman 615 []
bart 26 []
basebox 17 "['fabric'  'cuisine>=0.3.2'  'proxytypes']"
basecampreporting 9 []
basecampx 17 []
basedata 15 []
baseframe 45 []
bash-powerprompt 15 ['sh']
bashquote 11 []
BasicHttp 67 []
Basket 72323 []
basketweaver 25 ['# -*- Extra requirements: -*-']
Baskit 43 ['#']
batchcli 8 []
Batcher 109 ['# -*- Extra requirements: -*-']
batchhttp 31 ['httplib2>=0.6.0']
batch-queue 15 []
Batman 87 "['PyYAML>=3.10'  'argparse>=1.1']"
bayes 67 []
bazaarrecipeinfrae 10 []
bbcflib 16 []
bbcode 72160 []
bbdb.gmailfilter 16 "['setuptools'  '# -*- Extra requirements: -*-\n          zope.pagetemplate']"
bbnotify 10 []
BBQSQL 171 "['gevent'  'requests'  'argparse']"
bbricks 31 "['colorama'  'termcolor']"
bcbio-nextgen 254 []
Bcfg2 21 []
bda.bfg.tile 9 "['setuptools'  'repoze.bfg']"
bda.cache 482 "['setuptools'  'python-memcached'  'zope.component']"
bda.daemon 8 []
bda.intellidatetime 98 "['setuptools'  'zope.interface']"
bdajax 315 ['setuptools']
bda.ldap 31 "['setuptools'  'python-ldap'  'zodict'  'bda.cache']"
bda.plone.finder 28 "['setuptools'  'simplejson'  'Plone'  'plone.app.jquerytools'  '# -*- Extra requirements: -*']"
bda.plone.wfintranet 16 "['setuptools'  'Plone']"
bda.resultduplexer 7 "['setuptools'  'bda.contentproxy'  '# -*- Extra requirements: -*-']"
BDD4Django 46 []
bdl 13 []
bdpcrypt 10 []
Beaker 92686 []
beaker_extensions 327 ['# -*- Extra requirements: -*-']
BeakerHelpers 9 "['PasteScript'  'PasteDeploy'  'SQLAlchemy>=0.5.5']"
beancount 1612 []
beanstalk-stack 144 "['Fabric>=1.5'  'Jinja2>=2.6'  'six>=1.2'  'ground-soil>=0.1.2'  'netaddr>=0.7']"
bearlib 34 []
BeautifulCharts 20 []
beautifulscraper 125 []
BeautifulSoup 485792 []
beautifulsoup4 9035971 []
Beaver 12702 []
bebop 20 "['""pysolr>=2.0.15""'  '""lxml>=2.2.3""']"
bedup 61 []
beeswithmachineguns 31 "['boto==2.0'  'paramiko==1.7.7.1']"
beets 1192 "['mutagen'  'munkres'  'unidecode'  'musicbrainzngs']"
behave 332158 []
bein 49 []
bein-htminilims 13 []
belier 31 []
benchmark 161 []
benchmark-harness 13 []
benchmarking 24 []
benchmaster 11 "['funkload>=0.12'  'pssh>=2.1.1']"
