,setuptools,six,Degree,HIT,Closeness,Betweenness,PageRank,classification
3007,False,False,3,1.4933884628900434e-05,0.25036240217715006,0.00048687499834415126,0.00025889350971551416,baja
3008,False,False,2,8.165029019625972e-07,0.22573498364816327,0.0005771999991320302,0.00025064899007813603,baja
3009,False,False,1,1.983707812218604e-08,0.1841433610215995,0.0,0.00014925951377400197,baja
3010,False,False,6,9.166941431326803e-06,0.23484660231403776,0.003358163590988683,0.00048249399017305777,baja
3011,False,False,1,7.047914997610639e-06,0.22890466284629618,0.0,0.00011469636338412677,baja
3012,False,False,2,7.863935954351918e-06,0.23955102236455117,0.00047183505697122877,0.00019448922230917313,baja
3013,False,False,1,6.079855680921141e-09,0.1628653439987455,0.0,0.00012804304793964137,baja
3014,False,False,2,8.165044209325919e-07,0.22576447606828975,0.0006766595208022321,0.00022300495891441972,baja
3015,False,False,1,7.483678712008197e-07,0.2019400841213848,0.0,0.00011977114448367695,baja
3016,False,False,1,4.7249705040603466e-09,0.15229377339502842,0.0,0.0001355010542294406,baja
3017,False,False,2,3.310232118997034e-07,0.1940920251405919,0.00017928306405458238,0.00024393613589097012,baja
3018,False,False,1,5.171856882597148e-12,0.1244240567271522,0.0,0.00016799209164865866,baja
3019,False,False,3,2.1287591475352705e-10,0.1421170573095394,0.001154233080971078,0.0004381337029891704,baja
3020,False,False,2,8.751722943276052e-09,0.1656442963790922,0.0017305984936381977,0.0002602820381830906,baja
3021,False,False,1,5.171856882597148e-12,0.1244240567271522,0.0,0.00016799209164865866,baja
3022,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3023,True,False,2,0.0005711242496615181,0.3093450232414411,0.0,0.00018855868615395494,baja
3024,True,False,2,0.0005711242496615181,0.3093450232414411,0.0,0.0001885586861539549,baja
3025,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3026,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3027,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3028,True,False,4,0.0005867143252491664,0.30951124840169975,0.0005772925623581377,0.00033146147774813767,baja
3029,False,False,2,6.959595281145569e-07,0.2099637059327691,3.66971880459706e-05,0.00020554826858221452,baja
3030,False,False,1,8.672702374550407e-07,0.21838878986751212,0.0,0.00012448362111186327,baja
3031,True,False,4,0.0007511328464639093,0.3107636543164625,3.270500457627317e-05,0.00022674859153853878,baja
3032,True,False,10,0.0006757986182731884,0.31230820528225006,0.0005457904034082593,0.0006927550987815629,baja
3033,True,False,3,0.0005795710388654959,0.3121107739233613,0.0005442325086737601,0.00023051519958801271,baja
3034,True,False,3,0.0005795710388654959,0.3121107739233613,0.0005442325086737601,0.00023051519958801271,baja
3035,True,False,3,0.0005795710388654959,0.3121107739233613,0.0005442325086737601,0.00023051519958801271,baja
